,College,Credits,Instructor,CourseSubject,ClassID,SectionNumber,CourseName,Cost,TimeOfCourse,CourseBuilding,CourseRoom,ClassDays,Dates,WeeksInSemester,Semester,Year,Location,Website,UncgID,UncgTitle
0,Alamance Community College,1.0,M. Isbell,ACA,111,01E (7266),College Student Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
1,Alamance Community College,1.0,P. Harrison,ACA,111,02E (7267),College Student Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
2,Alamance Community College,1.0,A. Fecher,ACA,111,41E (7566),College Student Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
3,Alamance Community College,1.0,W. Shirley,ACA,111,42E (7567),College Student Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
4,Alamance Community College,1.0,K. Chappell,ACA,111,51E (7568),College Student Success,$76,No time given,Online,Online,Days to be Announced,03/09/2021-05/11/2021,9,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
5,Alamance Community College,1.0,M. Isbell,ACA,111,81E (7275),College Student Success,$76,No time given,Online,Online,Days to be Announced,02/09/2021-05/11/2021,13,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
6,Alamance Community College,1.0,C. Swinton,ACA,111,BA01E (7832),College Student Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
7,Alamance Community College,1.0,B. Pagura,ACA,111,HV09H (7565),College Student Success,$76,12:20PM - 01:15PM, Adv Applied Technology Ctr, T140 ,Thursday,01/11/2021-05/11/2021,17,Spring,2021,Graham Campus,https://www.alamancecc.edu/,No equivalency found,No equivalency found
8,Alamance Community College,1.0,P. Harrison,ACA,122,01E (7569),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
9,Alamance Community College,1.0,J. Hardison,ACA,122,03EY (7570),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
10,Alamance Community College,1.0,J. Hardison,ACA,122,04EY (7571),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
11,Alamance Community College,1.0,J. Hardison,ACA,122,05EY (7572),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-05/11/2021,17,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
12,Alamance Community College,1.0,A. Cooper,ACA,122,42E (7573),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
13,Alamance Community College,1.0,A. Marano,ACA,122,43E (7574),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
14,Alamance Community College,1.0,M. Garrison,ACA,122,44E (7575),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
15,Alamance Community College,1.0,M. Sherbondy,ACA,122,45E (7576),College Transfer Success,$76,No time given,Online,Online,Days to be Announced,01/11/2021-03/08/2021,8,Spring,2021,Online,https://www.alamancecc.edu/,No equivalency found,No equivalency found
