college,section,seats,instructor
Blue Ridge Community College,ACA-122-401W,2,"Angel, L"
Blue Ridge Community College,ACA-122-402W,10,"Grosso, L"
Blue Ridge Community College,ACA-122-403W,7,"Horlick, P"
Blue Ridge Community College,ACA-122-404W,7,"Allen, K"
Blue Ridge Community College,ACA-122-405W,2,"Winkler, M"
Blue Ridge Community College,ACA-122-408WL,1,"Igelman, J"
Blue Ridge Community College,ACA-122-409WL,6,"Smith, C"
Blue Ridge Community College,ACA-122-501W,0,"Crews, B"
Blue Ridge Community College,ACA-122-502W,0,"Craven, A"
Blue Ridge Community College,ACA-122-503W,15,"Angel, L"
Blue Ridge Community College,ACA-122-E11,7,"Secor, D"
Blue Ridge Community College,ACA-122-E12,9,"Norvell, A"
Blue Ridge Community College,ACC-120-201L,12,"Brindley, H"
Blue Ridge Community College,ACC-120-202L,6,"Hosmer, J"
Blue Ridge Community College,ACC-129-201,5,"Slater, P"
Blue Ridge Community College,ACC-220-201,19,"Lefevers, C"
Blue Ridge Community College,AGR-121-201,10,"Mitchell, D, Cook, A"
Blue Ridge Community College,ART-111-201L,0,"Bernard, A"
Blue Ridge Community College,ART-111-202L,0,"Mack, A"
Blue Ridge Community College,ART-111-203L,1,"Mack, A"
Blue Ridge Community College,ART-111-204L,1,"Mack, A"
Blue Ridge Community College,ART-111-205L,1,"Danis-Stys, J"
Blue Ridge Community College,ART-111-401W,3,"Mack, A"
Blue Ridge Community College,ART-111-501W,0,"Mack, A"
Blue Ridge Community College,ART-115-201L,0,"Chapman, J"
Blue Ridge Community College,ASL-111-211L,2,"Kiser, K"
Blue Ridge Community College,ASL-111-E01,12,"Kiser, K"
Blue Ridge Community College,ASL-112-211L,7,"Hendrix, K"
Blue Ridge Community College,ASL-181-211L,2,"Kiser, K"
Blue Ridge Community College,ASL-181-E01,12,"Kiser, K"
Blue Ridge Community College,ASL-182-211L,7,"Hendrix, K"
Blue Ridge Community College,BAF-110-201,18,"Brindley, H"
Blue Ridge Community College,BIO-111-401W,15,"Williams, L"
Blue Ridge Community College,BIO-111-501W,9,"Williams, L"
Blue Ridge Community College,BIO-112-201L,13,"Turk, K"
Blue Ridge Community College,BIO-168-201L,6,"Cook, A, DeViney, D"
Blue Ridge Community College,BIO-169-201L,3,"Cook, A, DeViney, D"
Blue Ridge Community College,BUS-110-201L,0,"Padgett, B"
Blue Ridge Community College,BUS-110-202L,1,"Padgett, B"
Blue Ridge Community College,BUS-110-204L,10,"Brown, T"
Blue Ridge Community College,BUS-110-501W,3,"Padgett, B"
Blue Ridge Community College,BUS-115-201L,2,"Thompson, K"
Blue Ridge Community College,BUS-115-202L,7,"Thompson, K"
Blue Ridge Community College,BUS-137-201L,15,"Levy, G"
Blue Ridge Community College,BUS-139-201L,0,"Kish, B"
Blue Ridge Community College,CHM-151-201,2,"Marsh, J"
Blue Ridge Community College,CHM-152-201,18,"Marsh, J"
Blue Ridge Community College,CIS-110-201,0,"Schmieder, E"
Blue Ridge Community College,CIS-110-202,1,"Adams, T"
Blue Ridge Community College,CIS-110-203L,0,"Horlick, P"
Blue Ridge Community College,CIS-110-204L,3,"Trent, D"
Blue Ridge Community College,CIS-110-501W,0,"Horlick, P"
Blue Ridge Community College,CIS-110-502W,21,
Blue Ridge Community College,CIS-115-201,15,"Koehler, W"
Blue Ridge Community College,CJC-111-202L,20,"Tankersley, J"
Blue Ridge Community College,CJC-113-202L,12,"Thompson, K"
Blue Ridge Community College,CJC-213-202L,10,"Ledford, K"
Blue Ridge Community College,CJC-221-202L,10,"LeRoy, C"
Blue Ridge Community College,CJC-231-202L,10,"Woodard, C"
Blue Ridge Community College,COM-120-201L,0,"Ward-Eller, C"
Blue Ridge Community College,COM-120-501,10,"Ward-Eller, C"
Blue Ridge Community College,COM-120-501W,0,"Bledsoe, J"
Blue Ridge Community College,COM-231-201L,0,"Bledsoe, J"
Blue Ridge Community College,CSC-121-201,16,"Furin, W"
Blue Ridge Community College,CSC-151-201,0,"Young, S"
Blue Ridge Community College,CTI-110-201,12,"Furin, W"
Blue Ridge Community College,CTI-120-201,17,"Alston, M"
Blue Ridge Community College,CTS-120-201,23,"Alston, M"
Blue Ridge Community College,CTS-130-201L,22,"Capps, V"
Blue Ridge Community College,DFT-170-211,7,"Kirchoefer, S"
Blue Ridge Community College,DFT-170-212,11,"Kirchoefer, S"
Blue Ridge Community College,DME-115-201,15,"Dellinger, M"
Blue Ridge Community College,DRA-111-401W,5,"Anthony, D"
Blue Ridge Community College,ECO-251-201,4,"Taylor, T"
Blue Ridge Community College,ECO-251-202,2,"Taylor, T"
Blue Ridge Community College,EDU-119-201L,7,"Wilkins, M"
Blue Ridge Community College,EDU-119-SY1,13,"Baker, D"
Blue Ridge Community College,EDU-144-201L,14,"Wilkins, M"
Blue Ridge Community College,EDU-146-201L,9,"Combs, S"
Blue Ridge Community College,EDU-153-201L,5,"Storey, R"
Blue Ridge Community College,EDU-157-201,17,"Combs, S"
