college,section,credits,instructor,meeting_info,location
Blue Ridge Community College,ACA-122-401H ACA-122 College Transfer Success,1,"Kvalvik, K"," M/W 9:00 AM - 9:45 AM TBD 1/6/2021 - 3/3/2021  Henderson County, Technology Education Dev Ctr 336TBD Lab/Shop Hours  M/W 9:00 AM - 9:45 AM TBD 1/6/2021 - 3/3/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 3/3/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Technology Education Dev Ctr 336TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ACA-122-402H ACA-122 College Transfer Success,1,"Secor, D"," M/W 10:00 AM - 10:45 AM TBD 1/6/2021 - 3/3/2021  Henderson County, Killian Bldg 122TBD Lab/Shop Hours  M/W 10:00 AM - 10:45 AM TBD 1/6/2021 - 3/3/2021  Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 3/3/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Killian Bldg 122TBD Lab/Shop Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ACA-122-403W ACA-122 College Transfer Success,1,"Marsom, R"," M/W 11:00 AM - 11:45 AM TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab  - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab ', ' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-404W ACA-122 College Transfer Success,1,"Craven, A"," M/W 9:30 AM - 10:20 AM TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Synchronous Distance Learning 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-405W ACA-122 College Transfer Success,1,"Angel, L"," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-406W ACA-122 College Transfer Success,1,"Crews, B"," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-407W ACA-122 College Transfer Success,1,"Sonnier, S"," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-408W ACA-122 College Transfer Success,1,"Craven, A"," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-409W ACA-122 College Transfer Success,1,"Igelman, J"," - TBD 1/6/2021 - 3/3/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-421B ACA-122 College Transfer Success,1,"Hardy, B"," M/W 11:00 AM - 11:50 AM TBD 1/6/2021 - 3/3/2021  Transylvania County, TCC Straus Bldg 110TBD Lab/Shop Hours  M/W 11:00 AM - 11:50 AM TBD 1/6/2021 - 3/3/2021  Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours  - TBD 1/6/2021 - 3/3/2021  Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 110TBD Lab/Shop Hours ', ' Transylvania County, Synchronous Distance Learning 999TBD Lab/Shop Hours ', ' Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ACA-122-501W ACA-122 College Transfer Success,1,," - TBD 3/5/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACA-122-E701 ACA-122 College Transfer Success,1,"Mitchell, M"," M/W 8:40 AM - 9:30 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Parkhill Innovative Hi School 202TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Parkhill Innovative Hi School 202TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ACA-122-E702 ACA-122 College Transfer Success,1,"Mitchell, M"," T/Th 8:40 AM - 9:30 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Parkhill Innovative Hi School 202TBD Lab/Shop Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Henderson County, Parkhill Innovative Hi School 202TBD Lab/Shop Hours ', ' Henderson County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
Blue Ridge Community College,ACC-120-201 ACC-120 Prin of Financial Accounting,4,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', ' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACC-120-202 ACC-120 Prin of Financial Accounting,4,," - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Class  - TBD 1/6/2021 - 5/5/2021  Internet-Based Course, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Internet-Based Course, Internet-Based Course 999TBD Online Class ', ' Internet-Based Course, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACC-120-701 ACC-120 Prin of Financial Accounting,4,"Hosmer, J, Larach, T"," T/Th 9:30 AM - 10:45 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Sink Bldg 117TBD Classroom Hours  T/Th 9:30 AM - 10:45 AM TBD 1/6/2021 - 5/5/2021  Henderson County, Synchronous Distance Learning 999TBD Classroom Hours  - TBD 1/6/2021 - 5/5/2021  Henderson County, Internet-Based Course 999TBD Online Lab  Meeting Times TBD ","[' Henderson County, Sink Bldg 117TBD Classroom Hours ', ' Henderson County, Synchronous Distance Learning 999TBD Classroom Hours ', ' Henderson County, Internet-Based Course 999TBD Online Lab ', '']"
Blue Ridge Community College,ACC-120-721 ACC-120 Prin of Financial Accounting,4,"Hosmer, J, Larach, T"," T/Th 9:30 AM - 10:45 AM TBD 1/6/2021 - 5/5/2021  Transylvania County, TCC Straus Bldg 110TBD Classroom Hours  T/Th 9:30 AM - 10:45 AM TBD 1/6/2021 - 5/5/2021  Transylvania County, Synchronous Distance Learning 999TBD Classroom Hours  - TBD 1/6/2021 - 5/5/2021  Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours  Meeting Times TBD ","[' Transylvania County, TCC Straus Bldg 110TBD Classroom Hours ', ' Transylvania County, Synchronous Distance Learning 999TBD Classroom Hours ', ' Transylvania County, Internet-Based Course 999TBD Lab/Shop Hours ', '']"
