college,section,credits,instructor,dates,location
Alamance Community College,ACA-111-01E (7266) College Student Success,1,M. Isbell,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-02E (7267) College Student Success,1,P. Harrison,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-41E (7566) College Student Success,1,A. Fecher,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-42E (7567) College Student Success,1,W. Shirley,"01/11/2021-03/08/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-51E (7568) College Student Success,1,K. Chappell,"03/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-81E (7275) College Student Success,1,M. Isbell,"02/09/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-BA01E (7832) College Student Success,1,C. Swinton,"01/11/2021-05/11/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-111-HV09H (7565) College Student Success,1,B. Pagura,"01/11/2021-05/11/2021 Classroom Hours Thursday 12:20PM - 01:15PM, Adv Applied Technology Ctr, Room T140 (more)...",Graham Campus
Alamance Community College,ACA-122-01E (7569) College Transfer Success,1,P. Harrison,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-03EY (7570) College Transfer Success,1,J. Hardison,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-04EY (7571) College Transfer Success,1,J. Hardison,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-05EY (7572) College Transfer Success,1,J. Hardison,"01/11/2021-05/11/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-42E (7573) College Transfer Success,1,A. Cooper,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-43E (7574) College Transfer Success,1,A. Marano,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
Alamance Community College,ACA-122-44E (7575) College Transfer Success,1,M. Garrison,"01/11/2021-03/08/2021 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
