,College,Credits:,Instructor,Course Subject,Class ID,Section Number,Course Name,Time of Course,Course Building,Course Room,Class Days,Dates,Location
0,Alamance Community College,1.0,P. Harrison,ACA,111,01E (5550),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
1,Alamance Community College,1.0,M. Isbell,ACA,111,02E (4330),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
2,Alamance Community College,1.0,W. Shirley,ACA,111,41W (5812),College Student Success,11:15AM - 12:10PM, B Wing, B220,"Monday, Wednesday",08/17/2020-10/12/2020,Graham Campus
3,Alamance Community College,1.0,A. Fecher,ACA,111,44E (4339),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
4,Alamance Community College,1.0,K. Chappell,ACA,111,51E (5553),College Student Success,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
5,Alamance Community College,1.0,J. Jones,ACA,111,52E (6871),College Student Success,No time given,Online,Online,Days to be Announced,10/13/2020-12/15/2020,Online
6,Alamance Community College,1.0,M. Isbell,ACA,111,81E (5554),College Student Success,No time given,Online,Online,Days to be Announced,09/15/2020-12/15/2020,Online
7,Alamance Community College,1.0,W. Hunter,ACA,111,AU44E (6322),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
8,Alamance Community College,1.0,C. Swinton,ACA,111,BU02E (6448),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
9,Alamance Community College,1.0,C. Swinton,ACA,111,BU04E (4331),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
10,Alamance Community College,1.0,T. Wanless,ACA,111,CU07E (6477),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-12/15/2020,Online
11,Alamance Community College,1.0,L. Heise,ACA,111,HO42E (6384),College Student Success,No time given,Online,Online,Days to be Announced,08/17/2020-10/12/2020,Online
12,Alamance Community College,1.0,B. Pagura,ACA,111,HV01H (6342),College Student Success,09:05AM - 10:00AM, Adv Applied Technology Ctr, T120 ,Friday,08/17/2020-12/15/2020,Graham Campus
13,Alamance Community College,1.0,B. Pagura,ACA,111,HV02H (6343),College Student Success,11:15AM - 12:10PM, Adv Applied Technology Ctr, T120 ,Friday,08/17/2020-12/15/2020,Graham Campus
