Column1,college,section,seats,instructor
0,Blue Ridge Community College,ACA-122-401W,2,"Angel, L"
1,Blue Ridge Community College,ACA-122-402W,10,"Grosso, L"
2,Blue Ridge Community College,ACA-122-403W,7,"Horlick, P"
3,Blue Ridge Community College,ACA-122-404W,7,"Allen, K"
4,Blue Ridge Community College,ACA-122-405W,2,"Winkler, M"
5,Blue Ridge Community College,ACA-122-408WL,1,"Igelman, J"
6,Blue Ridge Community College,ACA-122-409WL,6,"Smith, C"
7,Blue Ridge Community College,ACA-122-501W,0,"Crews, B"
8,Blue Ridge Community College,ACA-122-502W,0,"Craven, A"
9,Blue Ridge Community College,ACA-122-503W,15,"Angel, L"
10,Blue Ridge Community College,ACA-122-E11,7,"Secor, D"
11,Blue Ridge Community College,ACA-122-E12,9,"Norvell, A"
12,Blue Ridge Community College,ACC-120-201L,12,"Brindley, H"
13,Blue Ridge Community College,ACC-120-202L,6,"Hosmer, J"
14,Blue Ridge Community College,ACC-129-201,5,"Slater, P"
15,Blue Ridge Community College,ACC-220-201,19,"Lefevers, C"
16,Blue Ridge Community College,AGR-121-201,10,"Mitchell, D, Cook, A"
17,Blue Ridge Community College,ART-111-201L,0,"Bernard, A"
18,Blue Ridge Community College,ART-111-202L,0,"Mack, A"
19,Blue Ridge Community College,ART-111-203L,1,"Mack, A"
20,Blue Ridge Community College,ART-111-204L,1,"Mack, A"
21,Blue Ridge Community College,ART-111-205L,1,"Danis-Stys, J"
22,Blue Ridge Community College,ART-111-401W,3,"Mack, A"
23,Blue Ridge Community College,ART-111-501W,0,"Mack, A"
24,Blue Ridge Community College,ART-115-201L,0,"Chapman, J"
25,Blue Ridge Community College,ASL-111-211L,2,"Kiser, K"
26,Blue Ridge Community College,ASL-111-E01,12,"Kiser, K"
27,Blue Ridge Community College,ASL-112-211L,7,"Hendrix, K"
28,Blue Ridge Community College,ASL-181-211L,2,"Kiser, K"
29,Blue Ridge Community College,ASL-181-E01,12,"Kiser, K"
30,Blue Ridge Community College,ASL-182-211L,7,"Hendrix, K"
31,Blue Ridge Community College,BAF-110-201,18,"Brindley, H"
32,Blue Ridge Community College,BIO-111-401W,15,"Williams, L"
33,Blue Ridge Community College,BIO-111-501W,9,"Williams, L"
34,Blue Ridge Community College,BIO-112-201L,13,"Turk, K"
35,Blue Ridge Community College,BIO-168-201L,6,"Cook, A, DeViney, D"
36,Blue Ridge Community College,BIO-169-201L,3,"Cook, A, DeViney, D"
37,Blue Ridge Community College,BUS-110-201L,0,"Padgett, B"
38,Blue Ridge Community College,BUS-110-202L,1,"Padgett, B"
39,Blue Ridge Community College,BUS-110-204L,10,"Brown, T"
40,Blue Ridge Community College,BUS-110-501W,3,"Padgett, B"
41,Blue Ridge Community College,BUS-115-201L,2,"Thompson, K"
42,Blue Ridge Community College,BUS-115-202L,7,"Thompson, K"
43,Blue Ridge Community College,BUS-137-201L,15,"Levy, G"
44,Blue Ridge Community College,BUS-139-201L,0,"Kish, B"
45,Blue Ridge Community College,CHM-151-201,2,"Marsh, J"
46,Blue Ridge Community College,CHM-152-201,18,"Marsh, J"
47,Blue Ridge Community College,CIS-110-201,0,"Schmieder, E"
48,Blue Ridge Community College,CIS-110-202,1,"Adams, T"
49,Blue Ridge Community College,CIS-110-203L,0,"Horlick, P"
50,Blue Ridge Community College,CIS-110-204L,3,"Trent, D"
51,Blue Ridge Community College,CIS-110-501W,0,"Horlick, P"
52,Blue Ridge Community College,CIS-110-502W,21,
