Column1,college,section,credits,instructor,dates,location
0,Alamance Community College,ACA-111-01E (5550) College Student Success,1,P. Harrison,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
1,Alamance Community College,ACA-111-02E (4330) College Student Success,1,M. Isbell,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
2,Alamance Community College,ACA-111-41W (5812) College Student Success,1,W. Shirley,"08/17/2020-10/12/2020 Classroom Hours Monday, Wednesday 11:15AM - 12:10PM, B Wing, Room B220",Graham Campus
3,Alamance Community College,ACA-111-44E (4339) College Student Success,1,A. Fecher,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
4,Alamance Community College,ACA-111-51E (5553) College Student Success,1,K. Chappell,"10/13/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
5,Alamance Community College,ACA-111-52E (6871) College Student Success,1,J. Jones,"10/13/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
6,Alamance Community College,ACA-111-81E (5554) College Student Success,1,M. Isbell,"09/15/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
7,Alamance Community College,ACA-111-AU44E (6322) College Student Success,1,W. Hunter,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
8,Alamance Community College,ACA-111-BU02E (6448) College Student Success,1,C. Swinton,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
9,Alamance Community College,ACA-111-BU04E (4331) College Student Success,1,C. Swinton,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
10,Alamance Community College,ACA-111-CU07E (6477) College Student Success,1,T. Wanless,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
11,Alamance Community College,ACA-111-HO42E (6384) College Student Success,1,L. Heise,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
12,Alamance Community College,ACA-111-HV01H (6342) College Student Success,1,B. Pagura,"08/17/2020-12/15/2020 Classroom Hours Friday 09:05AM - 10:00AM, Adv Applied Technology Ctr, Room T120 (more)...",Graham Campus
13,Alamance Community College,ACA-111-HV02H (6343) College Student Success,1,B. Pagura,"08/17/2020-12/15/2020 Classroom Hours Friday 11:15AM - 12:10PM, Adv Applied Technology Ctr, Room T120 (more)...",Graham Campus
14,Alamance Community College,ACA-122-01E (5533) College Transfer Success,1,J. Trotter,"08/17/2020-12/15/2020 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
15,Alamance Community College,ACA-122-02E (5555) College Transfer Success,1,P. Harrison,"08/17/2020-12/15/2020 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
16,Alamance Community College,ACA-122-03E (5556) College Transfer Success,1,P. Carr,"08/17/2020-12/15/2020 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
17,Alamance Community College,ACA-122-06E (4344) College Transfer Success,1,J. Trotter,"08/17/2020-12/15/2020 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
18,Alamance Community College,ACA-122-42E (5548) College Transfer Success,1,A. Cooper,"08/17/2020-10/12/2020 Online Lab Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
19,Alamance Community College,ACA-122-43H (4346) College Transfer Success,1,W. Shirley,"08/17/2020-10/12/2020 Lab/Shop Hours Tuesday, Thursday 12:40PM - 01:35PM, B Wing, Room B220 (more)...",Graham Campus
20,Alamance Community College,CJC-121-51H (6599) Law Enforcement Operations,3,To be Announced,"10/13/2020-12/15/2020 Classroom Hours Monday, Wednesday 06:00PM - 08:00PM, Off Campus Locations for CU, Room OFFC1 (more)...",Burlington Campus
21,Alamance Community College,CJC-131-02H (6202) Criminal Law,3,T. Holt,"08/17/2020-12/15/2020 Classroom Hours Monday, Wednesday 09:05AM - 10:00AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
22,Alamance Community College,CJC-131-03H (6203) Criminal Law,3,M. Williams,"08/17/2020-12/15/2020 Classroom Hours Tuesday 12:50PM - 02:10PM, Graham Main Bldg, Room 00251 (more)...",Graham Campus
23,Alamance Community College,CJC-131-41E (4864) Criminal Law,3,R. Ellis,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
24,Alamance Community College,CJC-132-61EY (6728) Court Procedure & Evidence,3,K. Best,"11/17/2020-01/15/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
25,Alamance Community College,CJC-132-62EY (6729) Court Procedure & Evidence,3,K. Best,"11/17/2020-01/15/2021 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
26,Alamance Community College,CJC-144-41H (4868) Crime Scene Processing,3,R. Collins,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Graham Campus
27,Alamance Community College,CJC-146-51H (5011) Trace Evidence,3,R. Collins,"10/13/2020-12/15/2020 Classroom Hours Tuesday, Thursday 09:30AM - 11:30AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
28,Alamance Community College,CJC-211-41E (6204) Counseling,3,R. Ellis,"08/17/2020-10/12/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
29,Alamance Community College,CJC-212-41H (5261) Ethics & Comm Relations,3,B. Woody,"08/17/2020-10/12/2020 Classroom Hours Monday, Wednesday 06:00PM - 08:00PM, Off Campus Locations for CU, Room OFFC1 (more)...",Graham Campus
30,Alamance Community College,CJC-213-01H (6205) Substance Abuse,3,T. Holt,"08/17/2020-12/15/2020 Classroom Hours Monday, Wednesday 08:00AM - 08:55AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
31,Alamance Community College,CJC-213-61EY (6724) Substance Abuse,3,K. Best,"08/17/2020-09/29/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
32,Alamance Community College,CJC-221-01E (6135) Investigative Principles,4,T. Holt,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE (more)...",Online Course
33,Alamance Community College,CJC-221-01W (4874) Investigative Principles,4,T. Holt,"08/17/2020-12/15/2020 Classroom Hours Tuesday, Thursday 12:50PM - 01:50PM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
34,Alamance Community College,CJC-225-01E (4872) Crisis Intervention,3,"T. Holt, R. Ellis","08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
35,Alamance Community College,CJC-225-02H (6206) Crisis Intervention,3,T. Holt,"08/17/2020-12/15/2020 Classroom Hours Tuesday 08:00AM - 09:20AM, Graham Main Bldg, Room 00365 (more)...",Graham Campus
36,Alamance Community College,COM-110-01E (5571) Introduction to Communication,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
37,Alamance Community College,COM-120-01E (5572) Intro Interpersonal Com,3,D. Sargent,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
38,Alamance Community College,COM-231-01E (5574) Public Speaking,3,D. Sargent,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
39,Alamance Community College,COM-231-02E (5576) Public Speaking,3,E. Williams,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
40,Alamance Community College,COM-231-03E (5577) Public Speaking,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
41,Alamance Community College,COM-231-04E (5579) Public Speaking,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
42,Alamance Community College,COM-231-05E (4404) Public Speaking,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
43,Alamance Community College,COM-231-06E (5580) Public Speaking,3,D. Sargent,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
44,Alamance Community College,COM-231-07E (5581) Public Speaking,3,E. Williams,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
45,Alamance Community College,COM-231-08E (5582) Public Speaking,3,E. Williams,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
46,Alamance Community College,COM-231-09E (5583) Public Speaking,3,D. Sargent,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
47,Alamance Community College,COM-231-11E (5585) Public Speaking,3,D. Sargent,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
48,Alamance Community College,COM-231-13E (4415) Public Speaking,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
49,Alamance Community College,COM-231-14E (5587) Public Speaking,3,W. Walters,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
50,Alamance Community College,COM-231-16E (4418) Public Speaking,3,D. Elderkin,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
51,Alamance Community College,COM-231-61EY (6645) Public Speaking,3,E. Williams,"08/17/2020-12/15/2020 Online Class Days to be Announced, Times to be AnnouncedDistance Education/Online, Room ONLNE",Online Course
52,Alamance Community College,COS-111-61H (6732) Cosmetology Concepts I,4,R. Servie,"08/17/2020-12/15/2020 Classroom Hours Monday 08:00AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
53,Alamance Community College,COS-111-62H (6733) Cosmetology Concepts I,4,A. Scott,"08/17/2020-12/15/2020 Classroom Hours Monday 08:00AM - 12:15PM, Dillingham Center, Room 155 (more)...",Burlington Campus
54,Alamance Community College,COS-111AB-63HY (6745) Cosmetology Concepts I,2,C. White,"08/17/2020-12/15/2020 Classroom Hours Monday 03:00PM - 05:00PM, Dillingham Center, Room 155 (more)...",Burlington Campus
55,Alamance Community College,COS-111BB-63HY (6750) Cosmetology Concepts I,2,C. White,"08/17/2020-12/15/2020 Classroom Hours Monday 05:30PM - 07:30PM, Dillingham Center, Room 155 (more)...",Burlington Campus
